Country,Country Code,Year,GDP_growth,GCF_percent,Delta_GCF_pct,Delta_GDP_growth,Period
Thailand,THA,1992,8.083388023453324,39.9639476511796,-2.877429896765179,-0.474872297788977,1990-1994
Thailand,THA,1993,8.251915915246272,39.65614663853263,-0.30780101264696924,0.16852789179294803,1990-1994
Thailand,THA,1994,7.997024667204329,40.9077848466695,1.2516382081368675,-0.2548912480419432,1990-1994
Thailand,THA,1995,8.120315346253776,42.862694404940804,1.9549095582713036,0.1232906790494468,1995-1999
Thailand,THA,1996,5.651944464994713,42.5326887141045,-0.3300056908363018,-2.4683708812590623,1995-1999
Thailand,THA,1997,-2.7535751531408152,34.274729264103634,-8.257959450000868,-8.405519618135529,1995-1999
Thailand,THA,1998,-7.634035286001023,20.071495524989295,-14.203233739114339,-4.8804601328602075,1995-1999
Thailand,THA,1999,4.572307751155421,20.173405046446362,0.10190952145706689,12.206343037156444,1995-1999
Thailand,THA,2000,4.455247043350141,22.28260569408776,2.109200647641398,-0.11706070780527966,2000-2004
Thailand,THA,2001,3.444249009683716,23.112437210021103,0.8298315159333427,-1.010998033666425,2000-2004
Thailand,THA,2002,6.149036052100357,22.744193769457663,-0.3682434405634396,2.7047870424166405,2000-2004
Thailand,THA,2003,7.189243303409711,23.829298673816975,1.0851049043593122,1.0402072513093543,2000-2004
Thailand,THA,2004,6.289342142857947,25.68141470248115,1.8521160286641738,-0.8999011605517637,2000-2004
Thailand,THA,2005,4.187638428843371,30.420750863067415,4.739336160586266,-2.101703714014576,2005-2009
Thailand,THA,2006,4.967810892461074,27.01164339305415,-3.4091074700132644,0.7801724636177028,2005-2009
Thailand,THA,2007,5.435151690508093,25.496014290403107,-1.5156291026510438,0.4673407980470188,2005-2009
Thailand,THA,2008,1.7256988486633418,28.22643495177517,2.7304206613720616,-3.709452841844751,2005-2009
Thailand,THA,2009,-0.6906182323005794,20.636398376711817,-7.590036575063351,-2.416317080963921,2005-2009
Thailand,THA,2010,7.513390532616242,25.356654634074584,4.720256257362767,8.204008764916821,2010-2014
Thailand,THA,2011,0.8401320830533336,26.79145824684489,1.434803612770306,-6.673258449562908,2010-2014
Thailand,THA,2012,7.242796202496422,28.024165714601086,1.232707467756196,6.402664119443088,2010-2014
Thailand,THA,2013,2.687495563205559,27.45710118296656,-0.5670645316345251,-4.555300639290863,2010-2014
Thailand,THA,2014,0.9844688636194263,23.919019547850148,-3.538081635116413,-1.7030266995861325,2010-2014
Thailand,THA,2015,3.1340472491163496,22.355640638324502,-1.563378909525646,2.1495783854969233,2015-2019
Thailand,THA,2016,3.4351577169218217,21.105489201517415,-1.2501514368070872,0.3011104678054721,2015-2019
Thailand,THA,2017,4.177681032100097,22.93429568876954,1.8288064872521268,0.7425233151782749,2015-2019
Thailand,THA,2018,4.222870287460708,25.21959015944392,2.28529447067438,0.04518925536061147,2015-2019
Thailand,THA,2019,2.1145577962827815,23.814752574637456,-1.4048375848064651,-2.1083124911779265,2015-2019
Thailand,THA,2020,-6.05003846851622,23.75538517226964,-0.05936740236781546,-8.164596264799002,2020-2024
Thailand,THA,2021,1.5521660842664744,28.669036440806657,4.913651268537016,7.602204552782695,2020-2024
Thailand,THA,2022,2.5803787470982655,27.858429253958324,-0.8106071868483333,1.0282126628317911,2020-2024
Thailand,THA,2023,2.0177509532832687,22.460509991050795,-5.3979192629075285,-0.5626277938149968,2020-2024
Thailand,THA,2024,2.5259617577149527,21.57227579908322,-0.8882341919675767,0.508210804431684,2020-2024
Viet Nam,VNM,1986,2.789291574794433,,,,1985-1989
Viet Nam,VNM,1987,3.583469631307196,,,0.794178056512763,1985-1989
Viet Nam,VNM,1988,5.135011671578084,,,1.5515420402708884,1985-1989
Viet Nam,VNM,1989,7.364512893958192,,,2.229501222380108,1985-1989
Viet Nam,VNM,1990,5.100918139083689,,,-2.2635947548745037,1990-1994
Viet Nam,VNM,1991,5.960843932189121,,,0.8599257931054325,1990-1994
Viet Nam,VNM,1992,8.646047459345723,,,2.6852035271566024,1990-1994
Viet Nam,VNM,1993,8.07273065739605,,,-0.573316801949673,1990-1994
Viet Nam,VNM,1994,8.838980952453738,,,0.7662502950576879,1990-1994
Viet Nam,VNM,1995,9.540480174912645,27.14424269961379,,0.7014992224589065,1995-1999
Viet Nam,VNM,1996,9.340017499391791,28.102898145833638,0.9586554462198471,-0.2004626755208534,1995-1999
Viet Nam,VNM,1997,8.152084143354202,28.29958261989714,0.19668447406350253,-1.1879333560375898,1995-1999
